iter	MultiClass
0	0.9462541758
1	0.828762276
2	0.7372382375
3	0.658925551
4	0.5946403935
5	0.5406766553
6	0.4967377931
7	0.4561158153
8	0.4206665651
9	0.391508561
10	0.3632240112
11	0.3374304845
12	0.314402946
13	0.2942040764
14	0.2751008035
15	0.2579184414
16	0.2429289235
17	0.2290980566
18	0.2166608454
19	0.2060779385
20	0.1956029679
21	0.1867812897
22	0.1779149015
23	0.1698643623
24	0.1623568102
25	0.1555201826
26	0.1496184228
27	0.1455900573
28	0.140180088
29	0.1361651481
30	0.1313958398
31	0.1271430423
32	0.1235875457
33	0.1201890411
34	0.116900026
35	0.1137755159
36	0.1110792743
37	0.1081385814
38	0.1049759704
39	0.1023778094
40	0.1002586877
41	0.09848442081
42	0.09619731006
43	0.09385009373
44	0.09245977208
45	0.09036751792
46	0.08856419345
47	0.08660892914
48	0.0849538786
49	0.08368725697
50	0.08229528399
51	0.08103258867
52	0.07967917023
53	0.07859186429
54	0.07752122603
55	0.07651652729
56	0.07539183383
57	0.07436743612
58	0.07339757377
59	0.07247217933
60	0.07164909597
61	0.070442267
62	0.0695230919
63	0.0684847301
64	0.06758760979
65	0.06668747488
66	0.0658312877
67	0.06521807359
68	0.064552554
69	0.0637303868
70	0.06293685184
71	0.06258872767
72	0.06202965394
73	0.06131917428
74	0.06062326743
75	0.06002687073
76	0.0593853911
77	0.05889171507
78	0.05842559502
79	0.0579362659
80	0.05747703791
81	0.05685738629
82	0.05617290431
83	0.05572103786
84	0.05542163581
85	0.05498414761
86	0.05454753018
87	0.05407423769
88	0.05372795316
89	0.05323287276
90	0.05272363785
91	0.05223800255
92	0.05178965699
93	0.05127085484
94	0.05097735744
95	0.05075053578
96	0.05046090306
97	0.05002400004
98	0.04968509398
99	0.04933302039
100	0.04904282506
101	0.04873488083
102	0.0484067046
103	0.04793460619
104	0.04768452682
105	0.0474364453
106	0.04728137119
107	0.04696904115
108	0.04670873586
109	0.04639568696
110	0.04603080685
111	0.04572613456
112	0.04524475106
113	0.04491995706
114	0.04464025144
115	0.04425953224
116	0.04395205604
117	0.04371751211
118	0.04346190469
119	0.04328876678
120	0.04307593443
121	0.04288799318
122	0.04269416191
123	0.04245878176
124	0.04223245435
125	0.04202677087
126	0.04178916555
127	0.04156102302
128	0.04131217318
129	0.04103461968
130	0.04075787116
131	0.04049476548
132	0.04037641015
133	0.0401838777
134	0.03992862566
135	0.03979919814
136	0.03958465638
137	0.03932160664
138	0.03900952244
139	0.03876118811
140	0.038482061
141	0.03820258817
142	0.03803268002
143	0.03781947947
144	0.03754547973
145	0.03735489846
146	0.03716461992
147	0.03696653404
148	0.03677229514
149	0.0366495591
150	0.03641905351
151	0.03622218517
152	0.03603627214
153	0.03588006417
154	0.03571095876
155	0.03558940079
156	0.03540683703
157	0.03522006995
158	0.03508047147
159	0.03482219445
160	0.03459621263
161	0.03434746949
162	0.03416932915
163	0.03405328518
164	0.03393834056
165	0.03375857243
166	0.03370603128
167	0.03355315761
168	0.03336449072
169	0.03322880369
170	0.03315161955
171	0.03303726136
172	0.03294044119
173	0.03275984961
174	0.0325982495
175	0.03243175838
176	0.03228185149
177	0.03210308832
178	0.03196378875
179	0.03187131823
180	0.03174311618
181	0.03163472024
182	0.03156363685
183	0.03139278782
184	0.03125222263
185	0.03112580853
186	0.03091649551
187	0.03082189306
188	0.03072800788
189	0.03068227046
190	0.03058135364
191	0.03040951314
192	0.0303480958
193	0.03023513198
194	0.03004633841
195	0.02997686275
196	0.02989221569
197	0.02982945115
198	0.02971554519
199	0.02956984354
200	0.02949399698
201	0.02941453254
202	0.02933503502
203	0.02918355768
204	0.02908389238
205	0.02897314394
206	0.0289046371
207	0.02883107914
208	0.02872245223
209	0.02860557726
210	0.02856549164
211	0.0284774857
212	0.02843255988
213	0.02836766862
214	0.02819302531
215	0.02811188151
216	0.02795174976
217	0.02784164607
218	0.02777196604
219	0.0276629681
220	0.02760961653
221	0.02753339069
222	0.02743222661
223	0.02725965095
224	0.02716071807
225	0.02705390739
226	0.02697209045
227	0.02688059633
228	0.02681627696
229	0.0267113493
230	0.02665266914
231	0.02661239124
232	0.02650252763
233	0.02638285656
234	0.02632922174
235	0.02625083778
236	0.02619611559
237	0.02612279484
238	0.02601834566
239	0.02595213214
240	0.02590273792
241	0.02585105943
242	0.02577923739
243	0.025669292
244	0.02561461314
245	0.02558936097
246	0.02552036515
247	0.02545879129
248	0.02531504596
249	0.02528366474
250	0.02519521917
251	0.02509913857
252	0.0250353667
253	0.02496491538
254	0.02489578045
255	0.02480361379
256	0.02473622433
257	0.02468526078
258	0.02462736172
259	0.02455142821
260	0.02448210747
261	0.02442332926
262	0.02435725134
263	0.0243142081
264	0.02421885096
265	0.02416765942
266	0.02413858553
267	0.0241107237
268	0.0240626503
269	0.02400483653
270	0.02393041855
271	0.02385762074
272	0.02377780067
273	0.02371157451
274	0.02364000853
275	0.02357088215
276	0.02345361703
277	0.02336051776
278	0.02329857935
279	0.02319639302
280	0.02316956729
281	0.02307848823
282	0.02302316224
283	0.02294981177
284	0.02287447043
285	0.02273963377
286	0.02270113212
287	0.02260889075
288	0.02252241164
289	0.02246316215
290	0.02239718929
291	0.02234732888
292	0.02230156383
293	0.02222184773
294	0.02215887591
295	0.02210677137
296	0.02206143318
297	0.02197387611
298	0.02190975585
299	0.02186242649
